PLAYER,TEAM,POS,CUSH,SEP,TAY,TAY%,REC,TAR,CTCH%,YDS,TD,YAC,xYAC,+/-,Season,Week
A.J. Green,CIN,WR,5.7,3.5,8.8,49.52,12,13,92.31,180,1,6.3,5.7,0.6,2016,1
Willie Snead,NO,WR,7.4,2.4,13,35.35,9,9,100,172,1,6.8,7.7,-0.9,2016,1
Brandin Cooks,NO,WR,4.7,2.1,12.2,33.37,6,9,66.67,143,2,12.6,6,6.6,2016,1
Amari Cooper,OAK,WR,5.8,4.6,9,31.54,6,11,54.55,137,0,10.4,9,1.4,2016,1
Antonio Brown,PIT,WR,3.8,1.2,13.4,58.48,8,11,72.73,126,2,0.6,2.1,-1.5,2016,1
Jordan Matthews,PHI,WR,4.7,2.3,13.6,61.08,7,14,50,114,1,2.1,3.1,-1,2016,1
Will Fuller,HOU,WR,6.3,1.8,23,57.99,5,11,45.45,107,1,9,5.8,3.2,2016,1
Alshon Jeffery,CHI,WR,9.2,1.2,23,43.63,4,6,66.67,105,0,2.8,3.3,-0.5,2016,1
Stefon Diggs,MIN,WR,6.8,2.4,12.7,34.84,7,9,77.78,103,0,2.9,3.2,-0.3,2016,1
DeSean Jackson,WAS,WR,8.3,2.5,11.6,33.47,6,10,60,102,0,5.7,6.5,-0.9,2016,1
Mike Evans,TB,WR,5.1,2.1,18.3,38.35,5,7,71.43,99,1,1.5,2.1,-0.6,2016,1
Phillip Dorsett,IND,WR,6.3,1.3,22.2,26.63,4,6,66.67,94,0,1,2.6,-1.6,2016,1
Doug Baldwin,SEA,WR,6.7,2.9,6,26.14,9,11,81.82,92,1,3.7,5,-1.4,2016,1
Mike Wallace,BAL,WR,8,2.7,17.2,38.58,3,6,50,91,1,12.3,11.5,0.8,2016,1
Kelvin Benjamin,CAR,WR,6.7,1.7,9,43.75,6,12,50,91,1,4.2,4.2,0,2016,1
Michael Crabtree,OAK,WR,7.7,2.6,10.8,31.06,7,9,77.78,87,0,1.7,2.7,-1,2016,1
Marvin Jones,DET,WR,3.5,3,13.4,59.18,4,10,40,85,0,7,8.1,-1.1,2016,1
Larry Fitzgerald,ARI,WR,5.7,1.9,9.9,24.21,8,10,80,81,2,3.1,3.5,-0.5,2016,1
Mohamed Sanu,ATL,WR,6.2,2.9,10,30.47,5,8,62.5,80,1,9,8.2,0.8,2016,1
T.Y. Hilton,IND,WR,5.3,2.4,11.9,28.55,6,12,50,79,0,2.1,3.6,-1.4,2016,1
Tajae Sharpe,TEN,WR,6,1.3,11.9,40.26,7,11,63.64,76,0,0.6,1.8,-1.2,2016,1
Allen Hurns,JAX,WR,5,3.1,7.3,9.64,4,5,80,75,0,10.7,12.1,-1.4,2016,1
Travis Kelce,KC,TE,6.1,1.8,7.4,16.94,6,7,85.71,74,0,4.1,5.9,-1.8,2016,1
Odell Beckham,NYG,WR,5,2.9,11.3,43.44,4,8,50,73,0,4.4,7.8,-3.4,2016,1
Greg Olsen,CAR,TE,3.8,2.7,8.6,31.53,7,9,77.78,73,0,3.9,4.7,-0.8,2016,1
Allen Robinson,JAX,WR,3.9,1.9,16.6,65.52,6,15,40,72,0,3.2,7.4,-4.2,2016,1
Tyrell Williams,LAC,WR,4.6,3.1,14.4,33.2,2,5,40,71,0,29.2,21.6,7.6,2016,1
Corey Coleman,CLE,WR,5.1,1.9,28.3,43.76,2,5,40,69,0,2.3,2.5,-0.2,2016,1
Terrelle Pryor,CLE,WR,5.7,2,18.2,39.31,3,7,42.86,68,0,1.3,1.8,-0.6,2016,1
Kenny Britt,LAR,WR,4.9,3.4,8.5,23.97,4,6,66.67,67,0,8.1,6,2.1,2016,1
Julian Edelman,NE,WR,8.1,3.7,6,20.11,7,7,100,66,0,3.4,3.7,-0.3,2016,1
Jason Witten,DAL,TE,7.7,3.1,6.6,21.2,9,14,64.29,66,0,3.2,4.5,-1.3,2016,1
Julio Jones,ATL,WR,6.5,3.1,11.5,35.03,4,8,50,66,1,9.4,8.7,0.6,2016,1
Cole Beasley,DAL,WR,7,2.9,7.3,20.24,8,12,66.67,65,0,2.3,2.9,-0.6,2016,1
Kyle Rudolph,MIN,TE,4.1,2.4,7.6,18.61,4,8,50,65,0,10.9,8.9,2,2016,1
Julius Thomas,JAX,TE,6.4,2.5,10.9,14.33,5,5,100,64,1,2.5,5.4,-2.9,2016,1
Jordan Reed,WAS,TE,6.3,4.1,7.6,24.06,7,11,63.64,64,0,4.2,3.9,0.3,2016,1
Donte Moncrief,IND,WR,4.5,1.9,11.7,16.38,6,7,85.71,64,1,2.5,1.2,1.3,2016,1
Keenan Allen,LAC,WR,4.9,2.4,6.2,20.13,6,7,85.71,63,0,4,6.5,-2.6,2016,1
Jeremy Maclin,KC,WR,4,1.8,10.9,24.79,5,7,71.43,63,1,1,2.3,-1.2,2016,1
Jeremy Kerley,SF,WR,6.8,3,9.7,49.17,7,11,63.64,61,0,2.8,5.5,-2.6,2016,1
Michael Floyd,ARI,WR,4.6,2.3,16.4,28.13,3,7,42.86,61,0,4.4,5.4,-1,2016,1
Quinton Patton,SF,WR,5.7,2.1,6.9,15.8,5,5,100,60,0,5.1,1.6,3.5,2016,1
Jarvis Landry,MIA,WR,8.2,3.5,3.2,12.59,7,10,70,59,0,5.7,4.2,1.4,2016,1
C.J. Uzomah,CIN,TE,6.2,3.8,9.4,20.27,2,5,40,59,0,19.1,12.8,6.3,2016,1
Eli Rogers,PIT,WR,4.1,3.1,4.8,13.4,6,7,85.71,59,1,6.1,7.9,-1.9,2016,1
Jamison Crowder,WAS,WR,8.9,2.9,8,23.13,6,10,60,58,0,3.5,4.1,-0.6,2016,1
Zach Ertz,PHI,TE,6.1,3.5,7.7,17.33,6,7,85.71,58,0,2.8,4.1,-1.3,2016,1
Michael Thomas,NO,WR,3.2,3.1,4.3,7.84,6,6,100,58,0,5.4,4.2,1.1,2016,1
Randall Cobb,GB,WR,5.6,3,10.3,22.6,6,8,75,57,0,1,3.3,-2.3,2016,1
Nelson Agholor,PHI,WR,5.5,0.8,11.7,18.87,4,5,80,57,1,0.5,1.2,-0.7,2016,1
Eddie Royal,CHI,WR,5.5,2.3,12.2,23.17,4,6,66.67,57,1,0.3,2.4,-2.1,2016,1
Jermaine Kearse,SEA,WR,5.4,2.1,8.5,23.46,5,7,71.43,57,0,2.8,5.2,-2.4,2016,1
Quincy Enunwa,NYJ,WR,5.6,2.8,3.5,13.19,7,8,87.5,54,1,4.2,5,-0.8,2016,1
DeAndre Hopkins,HOU,WR,5.4,1.3,13.7,25.11,5,8,62.5,54,1,-0.3,0.4,-0.6,2016,1
Adam Thielen,MIN,WR,2.8,1.9,12,18.35,4,5,80,54,0,1.4,2.5,-1.1,2016,1
Dwayne Allen,IND,TE,6,1.8,11.4,13.73,4,6,66.67,53,1,3.2,4.3,-1.2,2016,1
Pierre Garcon,WAS,WR,8.5,4.6,5.8,10.13,6,6,100,51,0,2.7,3.1,-0.5,2016,1
Jacob Tamme,ATL,TE,7.2,2.6,7.9,23.99,6,8,75,51,0,1.9,2.6,-0.7,2016,1
Davante Adams,GB,WR,4.8,3.1,20,38.62,3,7,42.86,50,1,1.9,2.3,-0.3,2016,1
Emmanuel Sanders,DEN,WR,5.3,3.1,8.6,52.33,5,8,62.5,49,0,0.6,3.2,-2.7,2016,1
Demaryius Thomas,DEN,WR,5.1,2.4,6.1,27.82,4,6,66.67,48,0,5.2,7.7,-2.5,2016,1
Eric Ebron,DET,TE,4.1,2,6.7,14.76,5,5,100,46,1,2.6,2,0.6,2016,1
Chris Conley,KC,WR,6.5,2.3,11.7,26.64,4,7,57.14,43,0,2.4,3,-0.6,2016,1
Sammy Watkins,BUF,WR,2.6,4.4,11.6,52.21,4,6,66.67,43,0,0.4,1.1,-0.7,2016,1
Delanie Walker,TEN,TE,6.5,2.8,7.3,11.18,3,5,60,42,0,4.8,3.4,1.4,2016,1
Golden Tate,DET,WR,7.3,3.3,1.6,4.95,7,7,100,41,0,4.3,5.5,-1.2,2016,1
Eric Decker,NYJ,WR,4.4,2.2,12.8,41.91,2,7,28.57,37,1,3.2,1.7,1.4,2016,1
Kevin White,CHI,WR,10,2.9,13,28.68,3,7,42.86,34,0,2.4,4.7,-2.3,2016,1
Adam Humphries,TB,WR,4,1.4,8.5,12.75,3,5,60,34,0,9,3.4,5.6,2016,1
Malcolm Mitchell,NE,WR,4.4,1.1,12.6,29.89,2,5,40,33,0,10.4,2.4,8,2016,1
Travis Benjamin,LAC,WR,7.3,2.5,3.1,11.57,7,8,87.5,32,0,1.3,2.3,-1,2016,1
Jordy Nelson,GB,WR,4.8,1.3,6.3,15.7,6,9,66.67,32,1,1.8,1.7,0.1,2016,1
Brandon Marshall,NYJ,WR,4.8,2.2,13,48.52,3,8,37.5,32,0,2.4,4.1,-1.7,2016,1
Jesse James,PIT,TE,4.7,3.9,5.9,16.48,5,7,71.43,31,0,4,6.7,-2.7,2016,1
Andre Johnson,TEN,WR,7.6,2,13.6,29.25,3,7,42.86,30,0,1.7,3.8,-2,2016,1
Virgil Green,DEN,TE,8.3,3.5,5.6,21.41,4,5,80,28,0,2.1,5.4,-3.4,2016,1
Clive Walford,OAK,TE,4.9,2.3,9.5,15.26,3,5,60,25,0,3.1,4.4,-1.3,2016,1
Brian Quick,LAR,WR,7.7,2.2,8.3,19.56,3,5,60,23,0,1.4,1.7,-0.3,2016,1
Harry Douglas,TEN,WR,4.6,1.7,4.3,6.62,2,5,40,21,0,6.5,2.5,4,2016,1
Robert Woods,BUF,WR,7.1,4.2,6,22.56,4,5,80,20,0,-0.7,1.1,-1.8,2016,1
Steve Smith,BAL,WR,9.8,3.3,6.4,19.21,5,8,62.5,19,0,2,2.6,-0.6,2016,1
Vincent Jackson,TB,WR,8.1,1.7,12.9,27.06,2,7,28.57,18,0,0.3,1.3,-1,2016,1
Tyler Lockett,SEA,WR,7.3,4,0.6,1.87,3,8,37.5,17,0,5.8,7.1,-1.3,2016,1
Kenny Stills,MIA,WR,5.3,2.5,33.9,67.59,1,5,20,16,0,-0.5,-1,0.6,2016,1
Martellus Bennett,NE,TE,5.4,2.5,5.2,12.41,3,5,60,14,0,2,2.2,-0.2,2016,1
Torrey Smith,SF,WR,7.2,2.6,6.5,17.97,2,6,33.33,13,0,0,2.4,-2.4,2016,1
Tavon Austin,LAR,WR,6,2,6.4,36.2,4,12,33.33,13,0,3.6,5.5,-1.8,2016,1
Dez Bryant,DAL,WR,4.5,1.1,28.7,33.06,1,5,20,8,0,-2.3,-0.7,-1.6,2016,1
Charles D. Johnson,MIN,WR,5.1,2.3,15.8,28.89,1,6,16.67,5,0,6.2,6.2,0,2016,1
Albert Wilson,KC,WR,6.6,4.3,2.4,3.86,3,5,60,1,0,2.2,3.7,-1.4,2016,1
Stefon Diggs,MIN,WR,4.2,4.4,13.3,49.79,9,11,81.82,182,1,8.1,6.9,1.2,2016,2
Jarvis Landry,MIA,WR,3.7,3.6,7.1,20.37,10,13,76.92,135,0,5.6,7.8,-2.2,2016,2
Eric Decker,NYJ,WR,6.6,1.8,19.6,37.18,6,8,75,126,1,3,5,-2.1,2016,2
Greg Olsen,CAR,TE,6.7,3.3,17.6,34.77,5,8,62.5,122,1,10.2,7.5,2.7,2016,2
Marvin Jones,DET,WR,4.5,1.8,10.4,32.28,8,11,72.73,118,0,6.1,1.5,4.6,2016,2
Sterling Shepard,NYG,WR,3.6,2.4,10,23.82,8,8,100,117,0,4.6,6.7,-2,2016,2
Travis Benjamin,LAC,WR,5.5,2.9,16.4,41.62,6,6,100,115,2,3,4.7,-1.8,2016,2
Martellus Bennett,NE,TE,5.4,7.5,3.2,6.48,5,6,83.33,114,1,19.1,9.2,9.9,2016,2
DeAndre Hopkins,HOU,WR,3.3,1.7,12.8,35.29,7,11,63.64,113,1,3.6,2.6,1.1,2016,2
Kelvin Benjamin,CAR,WR,4.1,1.2,12.7,28.19,7,9,77.78,108,2,1,2.5,-1.5,2016,2
DeVante Parker,MIA,WR,4.8,2.1,14.7,42.12,8,13,61.54,106,0,2.8,4.2,-1.3,2016,2
Julio Jones,ATL,WR,3.4,1.6,13.4,21.93,5,5,100,106,1,7.8,8,-0.2,2016,2
Corey Coleman,CLE,WR,5.5,3.7,18.8,32.32,5,8,62.5,104,2,3.6,4.1,-0.5,2016,2
Will Fuller,HOU,WR,3.6,1.9,26.5,46.35,4,7,57.14,104,0,1.9,4,-2.1,2016,2
Dez Bryant,DAL,WR,5.5,1.8,11.8,70.2,7,12,58.33,102,0,1.5,2.3,-0.9,2016,2
Dennis Pitta,BAL,TE,5,2.8,4.2,9.92,9,12,75,102,0,5.8,4.4,1.3,2016,2
Brandon Marshall,NYJ,WR,5.6,2.2,16.8,35.82,6,9,66.67,101,0,5.6,6.7,-1.1,2016,2
Sammie Coates,PIT,WR,4.8,1.7,38.7,42.11,2,5,40,97,0,12.7,17.6,-4.8,2016,2
Alshon Jeffery,CHI,WR,5.6,2,16.9,49.18,5,7,71.43,96,0,3.3,3.8,-0.5,2016,2
Marquise Goodwin,BUF,WR,6.5,3.1,26.1,33.33,2,5,40,94,1,17,7.2,9.8,2016,2
Kenny Britt,LAR,WR,3.5,2.1,13,43.42,6,10,60,94,0,3.1,5.5,-2.4,2016,2
Quincy Enunwa,NYJ,WR,6.8,1.9,12.2,17.38,6,6,100,92,0,3.1,3.4,-0.3,2016,2
Victor Cruz,NYG,WR,3.9,1.7,13.3,31.64,4,8,50,91,0,12.1,9.5,2.5,2016,2
Demaryius Thomas,DEN,WR,6.2,2,10.7,30.81,5,7,71.43,90,0,9.4,4.9,4.5,2016,2
Greg Salas,BUF,WR,6.7,3.9,15.2,19.44,4,5,80,89,1,8.1,6.6,1.5,2016,2
Odell Beckham,NYG,WR,6.8,4,10.6,34.91,8,11,72.73,86,0,2.3,4,-1.7,2016,2
Delanie Walker,TEN,TE,7,4.4,8.6,21.57,6,6,100,83,1,5.3,5.6,-0.3,2016,2
Tyler Boyd,CIN,WR,7.1,2.7,9.1,17.45,6,8,75,78,0,2.4,4.4,-2,2016,2
