PLAYER,TEAM,EFF,8+D%,TLOS,ATT,YDS,AVG,TD,Season,Week
DeAngelo Williams,PIT,3.31,34.62,2.84,26,143,5.5,2,2016,1
Lamar Miller,HOU,4.18,17.86,2.24,28,106,3.8,0,2016,1
Matt Forte,NYJ,3.6,4.55,2.64,22,96,4.4,0,2016,1
C.J. Anderson,DEN,3.69,20,2.6,20,92,4.6,1,2016,1
Danny Woodhead,LAC,2.62,--,2.44,16,89,5.6,0,2016,1
David Johnson,ARI,3.11,43.75,2.62,16,89,5.6,1,2016,1
Carlos Hyde,SF,4.3,8.7,2.74,23,88,3.8,2,2016,1
Ryan Mathews,PHI,4.94,13.64,2.57,22,77,3.5,1,2016,1
Rashad Jennings,NYG,3.69,11.11,2.57,18,75,4.2,0,2016,1
Spencer Ware,KC,3.52,--,3.05,11,70,6.4,1,2016,1
LeGarrette Blount,NE,4.78,22.73,2.77,22,70,3.2,1,2016,1
Christine Michael,SEA,3.86,6.67,2.12,15,66,4.4,0,2016,1
Jonathan Stewart,CAR,3.69,60,2.59,15,64,4.3,0,2016,1
Ameer Abdullah,DET,4.16,--,2.92,12,63,5.3,0,2016,1
Doug Martin,TB,4.39,16.67,2.6,18,62,3.4,0,2016,1
Isaiah Crowell,CLE,3.4,25,2.59,12,62,5.2,1,2016,1
Eddie Lacy,GB,3.94,--,2.45,14,61,4.4,0,2016,1
Frank Gore,IND,3.34,--,2.03,14,59,4.2,0,2016,1
Latavius Murray,OAK,3.51,14.29,2.15,14,59,4.2,1,2016,1
LeSean McCoy,BUF,5.54,31.25,2.91,16,58,3.6,1,2016,1
Mark Ingram,NO,3.34,--,2.03,12,58,4.8,0,2016,1
Jeremy Langford,CHI,4.97,29.41,2.56,17,57,3.4,1,2016,1
Melvin Gordon,LAC,3.71,50,2.34,14,57,4.1,2,2016,1
Ezekiel Elliott,DAL,5.61,10,2.8,20,51,2.6,1,2016,1
Todd Gurley,LAR,6.48,29.41,3.12,17,47,2.8,0,2016,1
DeMarco Murray,TEN,5.16,30.77,2.69,13,42,3.2,0,2016,1
Justin Forsett,BAL,4.39,10,2.95,10,41,4.1,0,2016,1
T.J. Yeldon,JAX,7.38,4.76,2.36,21,39,1.9,1,2016,1
Arian Foster,MIA,6.1,15.38,2.59,13,38,2.9,0,2016,1
Terrance West,BAL,5.88,33.33,3.03,12,32,2.7,0,2016,1
Thomas Rawls,SEA,5.48,16.67,2.42,12,32,2.7,0,2016,1
Adrian Peterson,MIN,8.3,42.11,2.34,19,31,1.6,0,2016,1
Devonta Freeman,ATL,9.67,27.27,2.6,11,20,1.8,0,2016,1
Isaiah Crowell,CLE,2.76,38.89,3.04,18,133,7.4,1,2016,2
LeGarrette Blount,NE,3.72,44.83,2.77,29,123,4.2,1,2016,2
Melvin Gordon,LAC,3.94,12.5,2.41,24,102,4.3,1,2016,2
Matt Forte,NYJ,4.58,3.33,2.81,30,100,3.3,3,2016,2
Fozzy Whittaker,CAR,3.22,25,3.09,16,100,6.3,0,2016,2
DeAngelo Williams,PIT,6.06,21.88,3.19,32,94,2.9,0,2016,2
Devonta Freeman,ATL,3.29,76.47,2.97,17,93,5.5,0,2016,2
DeMarco Murray,TEN,2.75,41.67,2.47,12,89,7.4,0,2016,2
Ezekiel Elliott,DAL,4.21,23.81,2.53,21,83,4,1,2016,2
Lamar Miller,HOU,4.18,16.67,2.55,24,77,3.2,0,2016,2
C.J. Anderson,DEN,4.41,35,2.39,20,74,3.7,1,2016,2
